OBJECTID,ID,Year,Reported Date,Occurred Date,Day of Week,Offence Category,Bicycle Style,Bicycle Value,Bicycle Make,Bicycle Model,Bicycle Type,Bicycle Frame,Bicycle Colour,Bicycle Speed,Neighbourhood,Sector,Division,Census Tract,x,y
2368,2822,2021,7/29/2021 4:00:00 AM,7/21/2021 4:00:00 AM,Thursday,THEFT <BICYCLE,STOLEN,1500,SPEC,SPECIAL ALLEZ,RACER,MEN'S,PURPLE,10,Centretown,Sector 23,Central,5050054,368416.706,5032256.584
2369,2948,2021,7/29/2021 4:00:00 AM,7/29/2021 4:00:00 AM,Thursday,THEFT <BICYCLE,STOLEN,500,GT,AGGRESSOR,MOUNTAIN,MEN'S,REDGRAY,21,Centrepointe,Sector 15,West,5050141.12,364008.3559,5014602.185
2370,1955,2021,7/28/2021 4:00:00 AM,7/27/2021 4:00:00 AM,Wednesday,THEFT <BICYCLE,STOLEN,5000,LARRY VS HARRY,BULLITT,OTHER,UNISEX, WHITE,0,Centretown,Sector 23,Central,5050042,366714.6549,5029977.849
2371,1956,2021,7/28/2021 4:00:00 AM,7/27/2021 4:00:00 AM,Wednesday,THEFT <BICYCLE,STOLEN,400,CCM,ORION,HYBRID,WOMEN'S, WHITE,21,Sandy Hill,Sector 24,Central,5050151.07,349229.6099,5014914.071
2372,2027,2021,7/28/2021 4:00:00 AM,7/28/2021 4:00:00 AM,Wednesday,THEFT <BICYCLE,STOLEN,1000,CUBE,N/A,REGULAR,MEN'S,BLACK,16,Centretown,Sector 23,Central,5050053,368690.706,5032425.585
2373,2164,2021,7/28/2021 4:00:00 AM,7/27/2021 4:00:00 AM,Wednesday,THEFT <BICYCLE,STOLEN,0,RALE,CITY,REGULAR,UNISEX,BLACK,8,West Centretown,Sector 22,Central,5050151.07,348380.983,5014403.018
2374,2165,2021,7/28/2021 4:00:00 AM,7/28/2021 4:00:00 AM,Wednesday,THEFT <BICYCLE,STOLEN,200,N/A,N/A,N/A,N/A,BLACK,10,Stittsville,Sector 13,West,5050053,368690.706,5032425.585
2375,2319,2021,7/28/2021 4:00:00 AM,7/22/2021 4:00:00 AM,Wednesday,THEFT <BICYCLE,STOLEN,900,MARIN,FAIRFAX,HYBRID,MEN'S,BLACK GREEN,21,West Centretown,Sector 22,Central,5050011.03,370170.7101,5029578.465
2376,2408,2021,7/28/2021 4:00:00 AM,7/26/2021 4:00:00 AM,Wednesday,THEFT <BICYCLE,STOLEN,300,KUNSTADT,LADIES' BIKE,REGULAR,WOMEN'S,BLUE,0,Carlingwood West - Glabar Park - McKellar Heights,Sector 14,West,5050056,368258.3323,5032828.509
2377,2465,2021,7/28/2021 4:00:00 AM,7/18/2021 4:00:00 AM,Wednesday,THEFT <BICYCLE,STOLEN,350,RALE,N/A,HYBRID,WOMEN'S,BLUE WHITE,8,Civic Hospital-Central Park,Sector 21,Central,5050031,361135.1411,5025733.67
2378,2525,2021,7/28/2021 4:00:00 AM,7/27/2021 4:00:00 AM,Wednesday,THEFT <BICYCLE,STOLEN,1000,ROCKY MOUNTAIN,SOUL,MOUNTAIN,MEN'S,GRAY,27,Stittsville,Sector 13,West,5050037,368361.7071,5031217.574
2379,2532,2021,7/28/2021 4:00:00 AM,7/27/2021 4:00:00 AM,Wednesday,THEFT <BICYCLE,STOLEN,600,GT (GIANT),AGRESSOR,MOUNTAIN,WOMEN'S,GRAY,1,Byward Market,Sector 24,Central,5050037,368361.7071,5031217.574
2380,2666,2021,7/28/2021 4:00:00 AM,7/27/2021 4:00:00 AM,Wednesday,THEFT <BICYCLE,STOLEN,1500,MIELE,STEEL FRAME,TOURING,MEN'S,GREEN,12,Centretown,Sector 23,Central,5050037,368361.7071,5031217.574
2381,2895,2021,7/28/2021 4:00:00 AM,7/25/2021 4:00:00 AM,Wednesday,THEFT <BICYCLE,STOLEN,200,UNKNOWN,UNKNWON,MOUNTAIN,MEN'S,RED,6,Riverview,Sector 33,East,5050041,366627.7371,5030180.381
2382,2896,2021,7/28/2021 4:00:00 AM,7/26/2021 4:00:00 AM,Wednesday,THEFT <BICYCLE,STOLEN,1750,MATURE,SPINO C 30,REGULAR,MEN'S,RED,21,Sandy Hill,Sector 24,Central,5050034,364921.697,5028131.549
2383,1887,2021,7/27/2021 4:00:00 AM,7/15/2021 4:00:00 AM,Tuesday,THEFT <BICYCLE,STOLEN,300,CCM,N/A,MOUNTAIN,MEN'S, ORANGE,21,Centretown,Sector 23,Central,5050048,367034.703,5030997.574
2384,2629,2021,7/27/2021 4:00:00 AM,7/27/2021 4:00:00 AM,Tuesday,THEFT <BICYCLE,STOLEN,0,DIADORA,700C,MOUNTAIN,MEN'S,GRAYGREEN,21,Westboro,Sector 21,Central,5050151.04,349524.7871,5014330.211
2385,2894,2021,7/27/2021 4:00:00 AM,7/25/2021 4:00:00 AM,Tuesday,THEFT <BICYCLE,STOLEN,200,HYPER BEAR MOUN,HYPER BEAR MOUN,MOUNTAIN,MEN'S,RED,21,Stittsville,Sector 13,West,5050045,363456.691,5028811.555
2386,1833,2021,7/26/2021 4:00:00 AM,7/25/2021 4:00:00 AM,Monday,THEFT <BICYCLE,STOLEN,250,HYPER,N/A,MOUNTAIN,MEN'S, DARK BLUE,21,Civic Hospital-Central Park,Sector 21,Central,5050054,368185.7049,5032111.583
2387,1903,2021,7/26/2021 4:00:00 AM,7/25/2021 4:00:00 AM,Monday,THEFT <BICYCLE,STOLEN,1000,GIAN,ANTHEM SX2,MOUNTAIN,MEN'S, ORANGE RED,0,Civic Hospital-Central Park,Sector 21,Central,5050012,372081.18,5031933.574
2388,1954,2021,7/26/2021 4:00:00 AM,7/24/2021 4:00:00 AM,Monday,THEFT <BICYCLE,STOLEN,3000,RIDLEY,N/A,RACER,MEN'S, WHITE,10,Glebe - Dows Lake,Sector 22,Central,5050048,367480.7041,5031265.576
2389,2026,2021,7/26/2021 4:00:00 AM,7/24/2021 4:00:00 AM,Monday,THEFT <BICYCLE,STOLEN,2300,SPECIALIZED,RUBY CARBON FRA,RACER,WOMEN'S,BLACK,10,East Industrial,Sector 33,East,5050018,368553.7101,5029869.562
2390,2160,2021,7/26/2021 4:00:00 AM,7/25/2021 4:00:00 AM,Monday,THEFT <BICYCLE,STOLEN,850,CANNONDALE,QUICK 4,HYBRID,UNISEX,BLACK,24,Byward Market,Sector 24,Central,5050054,368140.7049,5032184.583
2391,2162,2021,7/26/2021 4:00:00 AM,7/25/2021 4:00:00 AM,Monday,THEFT <BICYCLE,STOLEN,600,OPUS,MONDANO,HYBRID,UNISEX,BLACK,24,Overbrook - McArthur,Sector 25,Central,5050023.02,364337.423,5025201.977
2392,2163,2021,7/26/2021 4:00:00 AM,7/25/2021 4:00:00 AM,Monday,THEFT <BICYCLE,STOLEN,600,OPUS,ORPHEO 5,HYBRID,WOMEN'S,BLACK,1,Westboro,Sector 21,Central,5050038,367562.7041,5031133.574
2393,2288,2021,7/26/2021 4:00:00 AM,7/24/2021 4:00:00 AM,Monday,THEFT <BICYCLE,STOLEN,0,CCM,ORION,HYBRID,WOMEN'S,BLACK  WHITE,21,Glebe - Dows Lake,Sector 22,Central,5050011.03,370255.7159,5030359.564
2394,2326,2021,7/26/2021 4:00:00 AM,7/25/2021 4:00:00 AM,Monday,THEFT <BICYCLE,STOLEN,790,TREK,FX2,HYBRID,WOMEN'S,BLACK PURPLE,12,Civic Hospital-Central Park,Sector 21,Central,5050023.02,364337.423,5025201.977
2395,2407,2021,7/26/2021 4:00:00 AM,7/11/2021 4:00:00 AM,Monday,THEFT <BICYCLE,STOLEN,0,UNKNOWN,N/A,OTHER,WOMEN'S,BLUE,6,Centretown,Sector 23,Central,5050036,368492.709,5030332.566
2396,2461,2021,7/26/2021 4:00:00 AM,7/25/2021 4:00:00 AM,Monday,THEFT <BICYCLE,STOLEN,400,TREK,MT TRACK 220,MOUNTAIN,CHILD'S,BLUE WHITE,12,Centretown,Sector 23,Central,5050023.02,364337.423,5025201.977
2397,2665,2021,7/26/2021 4:00:00 AM,7/24/2021 4:00:00 AM,Monday,THEFT <BICYCLE,STOLEN,9000,SPECIALIZED,N/A,RACER,MEN'S,GREEN,11,Sandy Hill,Sector 24,Central,5050048,367480.7041,5031265.576
2398,2821,2021,7/26/2021 4:00:00 AM,7/26/2021 4:00:00 AM,Monday,THEFT <BICYCLE,STOLEN,350,AVP,BALADEUR,HYBRID,UNISEX,PURPLE,0,Centretown,Sector 23,Central,5050042,366912.154,5030194.599
2399,2893,2021,7/26/2021 4:00:00 AM,7/24/2021 4:00:00 AM,Monday,THEFT <BICYCLE,STOLEN,500,TREK,ANTELOUPE,MOUNTAIN,MEN'S,RED,1,Glebe - Dows Lake,Sector 22,Central,5050018,368553.7101,5029869.562
2400,3075,2021,7/26/2021 4:00:00 AM,7/25/2021 4:00:00 AM,Monday,THEFT <BICYCLE,STOLEN,0,TREK,7.4,HYBRID,MEN'S,YELLOW GOLDEN,18,West Centretown,Sector 22,Central,5050045,363456.691,5028811.555
2401,1872,2021,7/25/2021 4:00:00 AM,7/24/2021 4:00:00 AM,Sunday,THEFT <BICYCLE,STOLEN,0,TREK,N/A,HYBRID,WOMEN'S, N/A,18,Old Ottawa East,Sector 22,Central,5050005,370160.72,5028002.545
2402,2054,2021,7/25/2021 4:00:00 AM,7/24/2021 4:00:00 AM,Sunday,THEFT <BICYCLE,STOLEN,100,NA,NA,OTHER,MEN'S,BLACK,0,Sandy Hill,Sector 24,Central,5050051,369147.709,5032035.581
2403,2159,2021,7/25/2021 4:00:00 AM,7/23/2021 4:00:00 AM,Sunday,THEFT <BICYCLE,STOLEN,750,OPUS,N/A,HYBRID,MEN'S,BLACK,0,Byward Market,Sector 24,Central,5050054,368140.7049,5032184.583
2404,2161,2021,7/25/2021 4:00:00 AM,7/23/2021 4:00:00 AM,Sunday,THEFT <BICYCLE,STOLEN,850,CANNONDALE,QUICK 4,HYBRID,UNISEX,BLACK,24,Billings Bridge - Alta Vista,Sector 34,East,5050054,368140.7049,5032184.583
2405,2581,2021,7/25/2021 4:00:00 AM,7/18/2021 4:00:00 AM,Sunday,THEFT <BICYCLE,STOLEN,650,GIANT,ROAD BIKE,OTHER,MEN'S,GRAY,8,West Centretown,Sector 22,Central,5050015,369571.7129,5030899.57
2406,2708,2021,7/25/2021 4:00:00 AM,7/18/2021 4:00:00 AM,Sunday,THEFT <BICYCLE,STOLEN,600,N/A,N/A,N/A,N/A,N/A,0,Sandy Hill,Sector 24,Central,5050015,369571.7129,5030899.57
2407,2820,2021,7/25/2021 4:00:00 AM,7/24/2021 4:00:00 AM,Sunday,THEFT <BICYCLE,STOLEN,250,RALEIGH,ROYALE,OTHER,UNISEX,PURPLE,4,Old Ottawa East,Sector 22,Central,5050051,369147.709,5032035.581
2408,2943,2021,7/25/2021 4:00:00 AM,7/24/2021 4:00:00 AM,Sunday,THEFT >BICYCLE,STOLEN,1500,OPUS,OTHELLO,REGULAR,MEN'S,RED WHITE,14,Byward Market,Sector 24,Central,5050042,367120.7049,5029824.563
2409,1989,2021,7/24/2021 4:00:00 AM,7/24/2021 4:00:00 AM,Saturday,THEFT <BICYCLE,STOLEN,800,GIAN,N/A,MOUNTAIN,MEN'S, WHITE BLUE,0,Centretown,Sector 23,Central,5050045,364664.6951,5029551.562
2410,2024,2021,7/24/2021 4:00:00 AM,7/22/2021 4:00:00 AM,Saturday,THEFT <BICYCLE,STOLEN,1050,GIANT,TALON 2,MOUNTAIN,MEN'S,BLACK,30,Sandy Hill,Sector 24,Central,5050039,367462.7049,5030288.567
2411,2025,2021,7/24/2021 4:00:00 AM,7/24/2021 4:00:00 AM,Saturday,THEFT >BICYCLE,STOLEN,700,KONA,KONA DEW 2016,REGULAR,MEN'S,BLACK,0,Sandy Hill,Sector 24,Central,5050054,368185.7049,5032111.583
2412,2157,2021,7/24/2021 4:00:00 AM,7/22/2021 4:00:00 AM,Saturday,THEFT <BICYCLE,STOLEN,770,LIV,ALIGHT 2016,HYBRID,WOMEN'S,BLACK,61,Carson Grove - Carson Meadows,Sector 32,East,5050039,367462.7049,5030288.567
2413,2158,2021,7/24/2021 4:00:00 AM,7/24/2021 4:00:00 AM,Saturday,THEFT >BICYCLE,STOLEN,6400,PEDEGO,CITY COMMUTER,HYBRID,UNISEX,BLACK,32,Island Park - Wellington Village,Sector 21,Central,5050054,368185.7049,5032111.583
2414,2348,2021,7/24/2021 4:00:00 AM,7/24/2021 4:00:00 AM,Saturday,THEFT <BICYCLE,STOLEN,500,TRANSIO,3,HYBRID,MEN'S,BLACK YELLOW,0,Island Park - Wellington Village,Sector 21,Central,5050045,364664.6951,5029551.562
2415,2362,2021,7/24/2021 4:00:00 AM,7/24/2021 4:00:00 AM,Saturday,THEFT >BICYCLE,STOLEN,30,N/A,N/A,REGULAR,MEN'S,BLUE,0,Billings Bridge - Alta Vista,Sector 34,East,5050054,368185.7049,5032111.583
2416,2363,2021,7/24/2021 4:00:00 AM,7/24/2021 4:00:00 AM,Saturday,THEFT <BICYCLE,STOLEN,250,UNKNOWN,UNKNOWN,REGULAR,UNISEX,BLUE,0,Stittsville,Sector 13,West,5050062.02,372731.7159,5034492.596
2417,2464,2021,7/24/2021 4:00:00 AM,7/24/2021 4:00:00 AM,Saturday,THEFT <BICYCLE,STOLEN,200,UNKNOWN,N/A,MOUNTAIN,MEN'S,BLUE WHITE,0,Centretown,Sector 23,Central,5050151.04,349415.5819,5014324.431
2418,2490,2021,7/24/2021 4:00:00 AM,7/20/2021 4:00:00 AM,Saturday,THEFT <BICYCLE,STOLEN,200,NORCO,N/A,MOUNTAIN,MEN'S,BROWN,21,Sandy Hill,Sector 24,Central,5050001.07,373896.3019,5025739.023
2419,2580,2021,7/24/2021 4:00:00 AM,7/24/2021 4:00:00 AM,Saturday,THEFT <BICYCLE,STOLEN,100,GENESIS,ROSE PORT 3.0,HYBRID,WOMEN'S,GRAY,18,Carson Grove - Carson Meadows,Sector 32,East,5050062.02,372731.7159,5034492.596
2420,3024,2021,7/24/2021 4:00:00 AM,7/22/2021 4:00:00 AM,Saturday,THEFT <BICYCLE,STOLEN,1000,SUTTON,LX20,MOUNTAIN,MEN'S,SILK PURPLE,12,Hunt Club Park,Sector 33,East,5050004,369653.7181,5027427.541
2421,1854,2021,7/23/2021 4:00:00 AM,7/22/2021 4:00:00 AM,Friday,THEFT <BICYCLE,STOLEN,0,TREK,N/A,OTHER,WOMEN'S, LIGHT BLUE,0,Centretown,Sector 23,Central,5050141.08,366487.983,5016737.383
2422,1886,2021,7/23/2021 4:00:00 AM,7/21/2021 4:00:00 AM,Friday,THEFT <BICYCLE,STOLEN,500,NORCO,VRF 5,RACER,MEN'S, ORANGE,24,Old Ottawa East,Sector 22,Central,5050040,367451.0551,5030871.907
2423,2023,2021,7/23/2021 4:00:00 AM,7/21/2021 4:00:00 AM,Friday,THEFT <BICYCLE,STOLEN,400,NORTHROCK,XC29,MOUNTAIN,MEN'S,BLACK,21,Rideau Crest - Davidson Heights,Sector 16,West,5050040,367451.0551,5030871.907
2424,2323,2021,7/23/2021 4:00:00 AM,7/1/2021 4:00:00 AM,Friday,THEFT <BICYCLE,STOLEN,400,NORTHROCK,N/A,MOUNTAIN,WOMEN'S,BLACK PINK,21,Rideau Crest - Davidson Heights,Sector 16,West,5050015,369571.7129,5030899.57
2425,2337,2021,7/23/2021 4:00:00 AM,7/22/2021 4:00:00 AM,Friday,THEFT <BICYCLE,STOLEN,400,CCM,N/A,OTHER,MEN'S,BLACK RED,21,Old Ottawa East,Sector 22,Central,5050015,369571.7129,5030899.57
2426,2579,2021,7/23/2021 4:00:00 AM,7/1/2021 4:00:00 AM,Friday,THEFT <BICYCLE,STOLEN,460,GIAN,N/A,MOUNTAIN,MEN'S,GRAY,21,Old Ottawa East,Sector 22,Central,5050015,369571.7129,5030899.57
2427,2796,2021,7/23/2021 4:00:00 AM,7/23/2021 4:00:00 AM,Friday,THEFT >BICYCLE,STOLEN,10814,TRIMBLE,TIME TRIAL,OTHER,MEN'S,OTHER,0,Centretown,Sector 23,Central,5050001.01,371436.5521,5026494.753
2428,2803,2021,7/23/2021 4:00:00 AM,7/22/2021 4:00:00 AM,Friday,THEFT <BICYCLE,RECOVERED,0,TREK,N/A,OTHER,WOMEN'S,PINK,0,Ledbury - Heron Gate - Ridgemont,Sector 34,East,5050141.08,366487.983,5016737.383
2429,1853,2021,7/22/2021 4:00:00 AM,7/21/2021 4:00:00 AM,Thursday,THEFT <BICYCLE,STOLEN,400,CCM,SF SECTOR,MOUNTAIN,WOMEN'S, LIGHT BLUE,21,Riverview,Sector 33,East,5050011.03,370267.717,5030199.563
2430,1953,2021,7/21/2021 4:00:00 AM,7/19/2021 4:00:00 AM,Wednesday,THEFT <BICYCLE,STOLEN,400,NORTHROCK,N/A,REGULAR,UNISEX, WHITE,0,Centretown,Sector 23,Central,5050043,365435.6989,5029080.557
2431,2155,2021,7/21/2021 4:00:00 AM,7/21/2021 4:00:00 AM,Wednesday,THEFT <BICYCLE,STOLEN,0,ELSWORTH,N/A,MOUNTAIN,MEN'S,BLACK,12,Sandy Hill,Sector 24,Central,5050110,368772.231,5035012.484
2432,2156,2021,7/21/2021 4:00:00 AM,7/20/2021 4:00:00 AM,Wednesday,THEFT <BICYCLE,STOLEN,200,RALEIGH,TORA,MOUNTAIN,MEN'S,BLACK,21,Rockcliffe Park,Sector 25,Central,5050023.02,364337.423,5025201.977
2433,2328,2021,7/21/2021 4:00:00 AM,7/21/2021 4:00:00 AM,Wednesday,THEFT <BICYCLE,FOUND,0,CHEROKEE,KOMODO,MOUNTAIN,UNISEX,BLACK RED,21,Centretown,Sector 23,Central,5050040,367451.0551,5030871.907
2434,2347,2021,7/21/2021 4:00:00 AM,7/19/2021 4:00:00 AM,Wednesday,THEFT <BICYCLE,STOLEN,300,CCM,N/A,BMX,UNISEX,BLACK YELLOW,0,Riverside Park,Sector 34,East,5050003,368419.714,5025841.529
2435,2404,2021,7/21/2021 4:00:00 AM,7/21/2021 4:00:00 AM,Wednesday,THEFT <BICYCLE,STOLEN,1000,TREK,7200,MOUNTAIN,WOMEN'S,BLUE,21,Sandy Hill,Sector 24,Central,5050040,367451.0551,5030871.907
2436,2406,2021,7/21/2021 4:00:00 AM,7/20/2021 4:00:00 AM,Wednesday,THEFT <BICYCLE,STOLEN,376,ADVENTURE,13,MOUNTAIN,MEN'S,BLUE,10,Hintonburg - Mechanicsville,Sector 21,Central,5050052,369397.7079,5032855.588
2437,2707,2021,7/21/2021 4:00:00 AM,7/20/2021 4:00:00 AM,Wednesday,THEFT <BICYCLE,RECOVERED,146,RAVEN,N/A,MOUNTAIN,CHILD'S,N/A,8,West Centretown,Sector 22,Central,5050052,369397.7079,5032855.588
2438,2892,2021,7/21/2021 4:00:00 AM,7/20/2021 4:00:00 AM,Wednesday,THEFT <BICYCLE,RECOVERED,780,BELIZE,TRIRIDER TRICYC,TRICYCLE,UNISEX,RED,5,Civic Hospital-Central Park,Sector 21,Central,5050042,366423.7019,5029861.564
2439,1885,2021,7/20/2021 4:00:00 AM,7/19/2021 4:00:00 AM,Tuesday,THEFT >BICYCLE,STOLEN,620,CCM,29ER MOUNTAIN B,MOUNTAIN,MEN'S, ORANGE,21,Katimavik - Hazeldean,Sector 13,West,5050160.05,352140.6129,5018332.46
2440,2405,2021,7/20/2021 4:00:00 AM,7/15/2021 4:00:00 AM,Tuesday,THEFT <BICYCLE,STOLEN,900,LIV,ROVE,HYBRID,WOMEN'S,BLUE,21,Convent Glen - Orléans Woods,Sector 31,East,5050160.06,350934.7499,5019118.034
2441,2819,2021,7/20/2021 4:00:00 AM,7/20/2021 4:00:00 AM,Tuesday,THEFT <BICYCLE,STOLEN,500,JAMIS,TRAIL X2 FEMME,MOUNTAIN,WOMEN'S,PURPLE,10,Kanata Lakes - Arcardia,Sector 13,West,5050124.02,381537.8199,5038326.857
2442,2318,2021,7/19/2021 4:00:00 AM,7/12/2021 4:00:00 AM,Monday,THEFT <BICYCLE,STOLEN,280,VIKING PRO,N/A,MOUNTAIN,WOMEN'S,BLACK GREEN,21,Carlington,Sector 21,Central,5050022,364634.6666,5027546.828
2443,2403,2021,7/19/2021 4:00:00 AM,7/18/2021 4:00:00 AM,Monday,THEFT <BICYCLE,STOLEN,0,UNKNOWN,N/A,OTHER,MEN'S,BLUE,1,Billings Bridge - Alta Vista,Sector 34,East,5050037,367762.7049,5031159.574
2444,2578,2021,7/19/2021 4:00:00 AM,7/18/2021 4:00:00 AM,Monday,THEFT <BICYCLE,STOLEN,0,ACADIAN,N/A,OTHER,MEN'S,GRAY,1,Centretown,Sector 23,Central,5050037,367762.7049,5031159.574
2445,2942,2021,7/19/2021 4:00:00 AM,7/16/2021 4:00:00 AM,Monday,THEFT <BICYCLE,STOLEN,0,NORTH-GO,SHORE,MOUNTAIN,MEN'S,RED WHITE,16,Centretown,Sector 23,Central,5050004,369584.7181,5027552.542
2446,1832,2021,7/18/2021 4:00:00 AM,7/14/2021 4:00:00 AM,Sunday,THEFT <BICYCLE,STOLEN,150,COLUMBIA,N/A,OTHER,UNISEX, DARK BLUE,1,Bridlewood - Emerald Meadows,Sector 13,West,5050160.06,350508.5849,5019177.484
2447,2004,2021,7/18/2021 4:00:00 AM,7/17/2021 4:00:00 AM,Sunday,THEFT <BICYCLE,STOLEN,550,GIAN,N/A,HYBRID,MEN'S,BEIGE BROWN,15,Stittsville,Sector 13,West,5050161.06,355576.631,5015210.431
2448,2776,2021,7/18/2021 4:00:00 AM,7/18/2021 4:00:00 AM,Sunday,THEFT <BICYCLE,N/A,0,NA,N/A,N/A,N/A,N/A,0,Kanata Lakes - Arcardia,Sector 13,West,5050011.01,373001.729,5029506.553
2449,2818,2021,7/18/2021 4:00:00 AM,7/18/2021 4:00:00 AM,Sunday,THEFT <BICYCLE,STOLEN,0,NORC,N/A,OTHER,WOMEN'S,PURPLE,0,Sandy Hill,Sector 24,Central,5050151.04,349557.5819,5013936.428
2450,2891,2021,7/18/2021 4:00:00 AM,7/16/2021 4:00:00 AM,Sunday,THEFT <BICYCLE,STOLEN,100,UNKNOWN,SC1800,MOUNTAIN,UNISEX,RED,0,Elmvale - Canterbury,Sector 33,East,5050054,368002.7049,5031904.581
2451,1852,2021,7/17/2021 4:00:00 AM,7/10/2021 4:00:00 AM,Saturday,THEFT <BICYCLE,N/A,150,GARY FISHER,N/A,HYBRID,MEN'S, LIGHT BLUE,0,Glebe - Dows Lake,Sector 22,Central,5050001.07,373896.3019,5025739.023
2452,2296,2021,7/17/2021 4:00:00 AM,7/16/2021 4:00:00 AM,Saturday,THEFT <BICYCLE,STOLEN,0,UNKNOWN,UNKNOWN,MOUNTAIN,UNISEX,BLACK BROWN,1,Hunt Club Park,Sector 33,East,5050056,368421.2043,5033074.348
2453,2401,2021,7/17/2021 4:00:00 AM,7/10/2021 4:00:00 AM,Saturday,THEFT <BICYCLE,STOLEN,1000,TREK,MARLIN 6,MOUNTAIN,MEN'S,BLUE,0,Carlington,Sector 21,Central,5050022,364634.6666,5027546.828
2454,2402,2021,7/17/2021 4:00:00 AM,7/16/2021 4:00:00 AM,Saturday,THEFT <BICYCLE,STOLEN,0,UNKNOWN,N/A,REGULAR,UNISEX,BLUE,1,Sandy Hill,Sector 24,Central,5050056,368421.2043,5033074.348
2455,2749,2021,7/17/2021 4:00:00 AM,7/17/2021 4:00:00 AM,Saturday,THEFT <BICYCLE,N/A,0,NA,N/A,N/A,N/A,N/A,0,Lowertown,Sector 24,Central,5050039,367703.706,5030526.569
2456,2890,2021,7/17/2021 4:00:00 AM,7/16/2021 4:00:00 AM,Saturday,THEFT <BICYCLE,STOLEN,400,ZYCLE FIX,ZF-RDDR-55,OTHER,UNISEX,RED,1,Lowertown,Sector 24,Central,5050050,369178.7989,5031334.746
2457,2994,2021,7/17/2021 4:00:00 AM,7/16/2021 4:00:00 AM,Saturday,THEFT <BICYCLE,STOLEN,0,CCM,UNKNOWN,REGULAR,WOMEN'S,SILK,6,Centretown,Sector 23,Central,5050019,367847.709,5028818.554
2458,2022,2021,7/16/2021 4:00:00 AM,7/5/2021 4:00:00 AM,Friday,THEFT <BICYCLE,STOLEN,1000,TREK,MAMBA 2013,MOUNTAIN,UNISEX,BLACK,9,Centretown,Sector 23,Central,5050037,368510.7079,5030979.572
2459,2149,2021,7/16/2021 4:00:00 AM,7/15/2021 4:00:00 AM,Friday,THEFT <BICYCLE,STOLEN,700,UNKNOWN,N/A,MOUNTAIN,MEN'S,BLACK,0,Byward Market,Sector 24,Central,5050057,369373.706,5033749.596
2460,2151,2021,7/16/2021 4:00:00 AM,7/13/2021 4:00:00 AM,Friday,THEFT <BICYCLE,STOLEN,300,GIANT,CYPRESS,HYBRID,MEN'S,BLACK,21,Byward Market,Sector 24,Central,5050037,367915.706,5031251.575
2461,2152,2021,7/16/2021 4:00:00 AM,7/14/2021 4:00:00 AM,Friday,THEFT <BICYCLE,STOLEN,500,JAMIS,CODA SPORT,HYBRID,WOMEN'S,BLACK,21,Whitehaven - Queensway Terrace North,Sector 14,West,5050019,367973.9406,5029144.934
2462,2153,2021,7/16/2021 4:00:00 AM,7/16/2021 4:00:00 AM,Friday,THEFT <BICYCLE,STOLEN,680,GIANT,DISC 3,HYBRID,MEN'S,BLACK,21,Lindenlea - New Edinburgh,Sector 25,Central,5050054,368020.7041,5032211.584
2463,2154,2021,7/16/2021 4:00:00 AM,7/16/2021 4:00:00 AM,Friday,THEFT <BICYCLE,STOLEN,500,MONGOOAW,MACK MAG WHEEL,MOUNTAIN,MEN'S,BLACK,21,Centretown,Sector 23,Central,5050051,369472.7101,5031989.58
2464,2458,2021,7/16/2021 4:00:00 AM,7/15/2021 4:00:00 AM,Friday,THEFT <BICYCLE,RECOVERED,200,OTHER,UNKNOWN,OTHER,CHILD'S,BLUE ORANGE,0,Vanier North,Sector 25,Central,5050028,360123.8951,5023334.487
2465,2477,2021,7/16/2021 4:00:00 AM,7/12/2021 4:00:00 AM,Friday,THEFT <BICYCLE,STOLEN,0,BTWIN,TILT 120,OTHER,UNISEX,BLUEGRAY,7,Glebe - Dows Lake,Sector 22,Central,5050045,363456.691,5028811.555
2466,2538,2021,7/16/2021 4:00:00 AM,7/16/2021 4:00:00 AM,Friday,THEFT <BICYCLE,STOLEN,200,GIANT,CYPRESS W  2013,REGULAR,WOMEN'S,GRAY,21,Westboro,Sector 21,Central,5050054,368020.7041,5032211.584
2467,2693,2021,7/16/2021 4:00:00 AM,7/16/2021 4:00:00 AM,Friday,THEFT <BICYCLE,RECOVERED,350,GIANT,ESCAPE 3,REGULAR,MEN'S,LIGHT GREEN,21,Centretown,Sector 23,Central,5050054,368020.7041,5032211.584
2468,2697,2021,7/16/2021 4:00:00 AM,7/16/2021 4:00:00 AM,Friday,THEFT <BICYCLE,STOLEN,250,UNKNOWN,N/A,REGULAR,UNISEX,LIGHT GREEN,0,Centretown,Sector 23,Central,5050103,370418.709,5033770.595
2469,2889,2021,7/16/2021 4:00:00 AM,7/15/2021 4:00:00 AM,Friday,THEFT <BICYCLE,STOLEN,400,INFINITY,MERIDIAN ONE,HYBRID,UNISEX,RED,18,Byward Market,Sector 24,Central,5050037,368315.7071,5031289.575
2470,3037,2021,7/16/2021 4:00:00 AM,7/5/2021 4:00:00 AM,Friday,THEFT <BICYCLE,STOLEN,800,UNKNOWN,N/A,HYBRID,WOMEN'S,TRQ,0,Sandy Hill,Sector 24,Central,5050037,368510.7079,5030979.572
2471,1831,2021,7/15/2021 4:00:00 AM,7/15/2021 4:00:00 AM,Thursday,THEFT <BICYCLE,STOLEN,1100,GT,AVALANCHE ELITE,MOUNTAIN,MEN'S, DARK BLUE,20,Byward Market,Sector 24,Central,5050005,370018.72,5027015.537
